"fecha","peso_neto"
"24/9/2011","15.2"
"25/9/2011","0"
"26/9/2011","0"
"27/9/2011","0"
"28/9/2011","0"
"29/9/2011","0"
"30/9/2011","0"
"1/10/2011","0"
"2/10/2011","0"
"3/10/2011","3.06"
"4/10/2011","0"
"5/10/2011","0"
"6/10/2011","0"
"7/10/2011","0"
"8/10/2011","0"
"9/10/2011","0"
"10/10/2011","0"
"11/10/2011","0"
"12/10/2011","18.64"
"13/10/2011","0"
"14/10/2011","25.47"
"15/10/2011","0"
"16/10/2011","13.88"
"17/10/2011","2.63"
"18/10/2011","0"
"19/10/2011","0"
"20/10/2011","0"
"21/10/2011","2.38"
"22/10/2011","0"
"23/10/2011","0"
"24/10/2011","5.78"
"25/10/2011","0"
"26/10/2011","50.45"
"27/10/2011","27.54"
"28/10/2011","15.71"
"29/10/2011","16.9"
"30/10/2011","4.8"
"31/10/2011","2.38"
"2/11/2011","28.54"
"3/11/2011","25.85"
"4/11/2011","76.59"
"5/11/2011","79.04"
"6/11/2011","0"
"7/11/2011","0"
"8/11/2011","44.18"
"9/11/2011","32.42"
"10/11/2011","32.09"
"11/11/2011","34.27"
"12/11/2011","65.96"
"13/11/2011","67.44"
"14/11/2011","37.4"
"15/11/2011","0"
"16/11/2011","19.55"
"17/11/2011","62.37"
"18/11/2011","67.25"
"19/11/2011","143.06"
"20/11/2011","184.26"
"21/11/2011","70.18"
"22/11/2011","447.98"
"23/11/2011","313.77"
"24/11/2011","401.74"
"25/11/2011","127.17"
"26/11/2011","134.57"
"27/11/2011","403.65"
"28/11/2011","139.51"
"29/11/2011","37.41"
"30/11/2011","216.87"
"1/12/2011","372.57"
"2/12/2011","466.72"
"3/12/2011","258.98"
"4/12/2011","64.48"
"5/12/2011","447.47"
"6/12/2011","166.27"
"7/12/2011","296.78"
"8/12/2011","385.07"
"9/12/2011","344.32"
"10/12/2011","265.48"
"11/12/2011","173.05"
"12/12/2011","487.94"
"13/12/2011","121.4"
"14/12/2011","217.97"
"15/12/2011","163.44"
"16/12/2011","130.63"
"17/12/2011","351.35"
"18/12/2011","191.48"
"19/12/2011","368.98"
"20/12/2011","201.75"
"21/12/2011","215.32"
"22/12/2011","570.93"
"23/12/2011","1075.91"
"24/12/2011","572.88"
"25/12/2011","652.9"
"26/12/2011","380.47"
"27/12/2011","598.17"
"28/12/2011","209.23"
